crime_code,crime_type,occurred_at,latitude,longitude,address,description,police_station,is_accident,is_women_related,severity
NDPS-27,NDPS-DrugConsumption,2025-04-21T16:59:00,12.932335,77.607033,"Sector 46, Zone 9","Base dataset FIR #1: NDPS-DrugConsumption recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,3
379,IPC-Theft,2025-11-20T15:37:00,12.94257,77.620345,"Sector 35, Zone 1","Base dataset FIR #2: IPC-Theft recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,2
307,IPC-AttemptToMurder,2025-04-09T13:06:00,17.443547,78.446639,"Sector 35, Zone 11","Base dataset FIR #3: IPC-AttemptToMurder recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,4
420,IPC-Fraud,2025-12-13T22:45:00,12.936358,77.63812,"Sector 9, Zone 3","Base dataset FIR #4: IPC-Fraud recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,3
379,IPC-Theft,2025-04-13T21:33:00,13.024746,77.521822,"Sector 44, Zone 9","Base dataset FIR #5: IPC-Theft recorded near patrol zone served by Anna Nagar PS. Generated for analytics, upload, and demo seeding.",Anna Nagar PS,False,False,2
420,IPC-Fraud,2025-05-12T08:27:00,13.080969,80.216816,"Sector 9, Zone 6","Base dataset FIR #6: IPC-Fraud recorded near patrol zone served by Adyar PS. Generated for analytics, upload, and demo seeding.",Adyar PS,False,False,3
420,IPC-Fraud,2025-05-09T01:45:00,17.446324,78.547472,"Sector 15, Zone 7","Base dataset FIR #7: IPC-Fraud recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,3
420,IPC-Fraud,2025-05-22T17:06:00,12.933461,77.627844,"Sector 42, Zone 1","Base dataset FIR #8: IPC-Fraud recorded near patrol zone served by Mylapore PS. Generated for analytics, upload, and demo seeding.",Mylapore PS,False,False,3
379,IPC-Theft,2026-02-20T22:09:00,17.339817,78.470082,"Sector 21, Zone 2","Base dataset FIR #9: IPC-Theft recorded near patrol zone served by T. Nagar PS. Generated for analytics, upload, and demo seeding.",T. Nagar PS,False,False,2
379,IPC-Theft,2025-08-29T13:03:00,17.320833,78.545745,"Sector 50, Zone 12","Base dataset FIR #10: IPC-Theft recorded near patrol zone served by Tambaram PS. Generated for analytics, upload, and demo seeding.",Tambaram PS,False,False,2
